Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
MSB1996WRNO,2019-10-08-12-36-45,1,1,0.6967482071298041,right,probe,ambiguous-switch,-1,20,left,left,0.999
MSB1996WRNO,2019-10-08-12-36-45,1,2,0.6174532859435458,right,both,ambiguous-switch,96,20,left,left,0.201
MSB1996WRNO,2019-10-08-12-36-45,1,3,0.5645371984473704,left,probe,biased-switch,-1,0,left,left,0.176
MSB1996WRNO,2019-10-08-12-36-45,1,4,0.554830077591344,left,both,biased-switch,107,0,left,left,0.234
MSB1996WRNO,2019-10-08-12-36-45,1,5,0.620131851821652,right,probe,biased-switch,-1,-10,right,right,0.27
MSB1996WRNO,2019-10-08-12-36-45,1,6,0.577914475883851,right,both,biased-switch,105,-10,right,left,0.222
MSB1996WRNO,2019-10-08-12-36-45,1,7,0.6500910385655122,left,probe,ambiguous-switch,-1,0,left,left,0.201
MSB1996WRNO,2019-10-08-12-36-45,1,8,0.6057793078550779,left,both,ambiguous-switch,91,0,left,left,0.195
MSB1996WRNO,2019-10-08-12-36-45,1,9,0.5500495174573614,right,probe,ambiguous-switch,-1,-5,left,left,0.223
MSB1996WRNO,2019-10-08-12-36-45,1,10,0.5648888449680788,right,both,ambiguous-switch,90,-5,left,left,0.226
MSB1996WRNO,2019-10-08-12-36-45,1,11,0.6097597666473576,right,probe,ambiguous-switch,-1,-30,right,right,0.21
MSB1996WRNO,2019-10-08-12-36-45,1,12,0.6265421719463967,right,both,ambiguous-switch,105,-30,right,right,0.353
MSB1996WRNO,2019-10-08-12-36-45,1,13,0.6970566030396592,left,probe,biased-switch,-1,5,left,left,0.202
MSB1996WRNO,2019-10-08-12-36-45,1,14,0.5905905729162042,left,both,biased-switch,100,5,left,left,0.102
MSB1996WRNO,2019-10-08-12-36-45,1,15,0.5687828858273818,right,probe,ambiguous-switch,-1,10,right,right,0.124
MSB1996WRNO,2019-10-08-12-36-45,1,16,0.5983213452530729,right,both,ambiguous-switch,108,10,right,right,0.217
MSB1996WRNO,2019-10-08-12-36-45,1,17,0.6386836284439796,right,probe,biased-switch,-1,10,right,right,0.216
MSB1996WRNO,2019-10-08-12-36-45,1,18,0.6335050534346021,right,both,biased-switch,95,10,right,right,0.271
MSB1996WRNO,2019-10-08-12-36-45,1,19,0.544190624203091,right,probe,ambiguous-switch,-1,5,right,right,0.242
MSB1996WRNO,2019-10-08-12-36-45,1,20,0.5473617198222932,right,both,ambiguous-switch,96,5,right,right,0.16
MSB1996WRNO,2019-10-08-12-36-45,1,21,0.6662330871947321,right,probe,biased-switch,-1,20,right,right,0.187
MSB1996WRNO,2019-10-08-12-36-45,1,22,0.63502864561676,right,both,biased-switch,99,20,right,right,0.23
MSB1996WRNO,2019-10-08-12-36-45,1,23,0.5781178164865373,left,probe,ambiguous-switch,-1,-10,left,left,0.18
MSB1996WRNO,2019-10-08-12-36-45,1,24,0.6227512336667439,left,both,ambiguous-switch,100,-10,left,left,0.087
MSB1996WRNO,2019-10-08-12-36-45,1,25,0.6800424024432158,right,probe,ambiguous-switch,-1,-20,right,right,0.099
MSB1996WRNO,2019-10-08-12-36-45,1,26,0.6305715414613583,right,both,ambiguous-switch,102,-20,right,right,0.216
MSB1996WRNO,2019-10-08-12-36-45,1,27,0.5573531813814124,left,probe,biased-switch,-1,-5,left,left,0.138
MSB1996WRNO,2019-10-08-12-36-45,1,28,0.5421908560695231,left,both,biased-switch,105,-5,left,left,0.19
MSB1996WRNO,2019-10-08-12-36-45,1,29,0.5485859770555184,right,probe,biased-switch,-1,30,right,right,0.178
MSB1996WRNO,2019-10-08-12-36-45,1,30,0.668855769775943,right,both,biased-switch,92,30,right,right,0.198
MSB1996WRNO,2019-10-08-12-36-45,1,31,0.6229901386657489,left,probe,biased-switch,-1,-20,left,left,0.143
MSB1996WRNO,2019-10-08-12-36-45,1,32,0.6213357951139757,left,both,biased-switch,107,-20,left,left,0.185
MSB1996WRNO,2019-10-08-12-36-45,1,33,0.6939962298282426,right,probe,biased-switch,-1,-30,right,right,0.181
MSB1996WRNO,2019-10-08-12-36-45,1,34,0.5544572657676046,right,both,biased-switch,100,-30,right,right,0.108
MSB1996WRNO,2019-10-08-12-36-45,1,35,0.591064126686015,left,probe,ambiguous-switch,-1,30,left,left,0.151
MSB1996WRNO,2019-10-08-12-36-45,1,36,0.643531651102281,left,both,ambiguous-switch,102,30,left,left,0.119
MSB1996WRNO,2019-10-08-12-36-45,1,37,0.6566399229464479,left,probe,ambiguous-switch,-1,40,left,left,0.197
MSB1996WRNO,2019-10-08-12-36-45,1,38,0.5460028879460375,left,both,ambiguous-switch,93,40,left,left,0.123
MSB1996WRNO,2019-10-08-12-36-45,1,39,0.6933530141819524,right,probe,biased-switch,-1,40,right,right,0.198
MSB1996WRNO,2019-10-08-12-36-45,1,40,0.5009932869974062,right,both,biased-switch,95,40,right,right,0.244
MSB1996WRNO,2019-10-08-12-36-45,1,41,0.611802353491424,left,probe,ambiguous-switch,-1,20,left,left,0.169
MSB1996WRNO,2019-10-08-12-36-45,1,42,0.6824225604186751,left,both,ambiguous-switch,99,20,left,left,0.158
MSB1996WRNO,2019-10-08-12-36-45,1,43,0.5376777146033744,left,probe,biased-switch,-1,0,left,left,0.176
MSB1996WRNO,2019-10-08-12-36-45,1,44,0.5004430951571455,left,both,biased-switch,91,0,left,left,0.183
MSB1996WRNO,2019-10-08-12-36-45,1,45,0.6853415535385754,left,probe,biased-switch,-1,-10,left,left,0.035
MSB1996WRNO,2019-10-08-12-36-45,1,46,0.6698980357693569,left,both,biased-switch,98,-10,left,left,0.177
MSB1996WRNO,2019-10-08-12-36-45,1,47,0.5205863779692549,right,probe,ambiguous-switch,-1,0,right,right,0.174
MSB1996WRNO,2019-10-08-12-36-45,1,48,0.6931287446633636,right,both,ambiguous-switch,101,0,right,right,0.116
MSB1996WRNO,2019-10-08-12-36-45,1,49,0.5951546262808223,left,probe,ambiguous-switch,-1,-5,left,left,0.173
MSB1996WRNO,2019-10-08-12-36-45,1,50,0.6023522847399192,left,both,ambiguous-switch,110,-5,left,left,0.075
MSB1996WRNO,2019-10-08-12-36-45,1,51,0.5864432369684481,right,probe,ambiguous-switch,-1,-30,right,right,0.166
MSB1996WRNO,2019-10-08-12-36-45,1,52,0.6116574314494404,right,both,ambiguous-switch,107,-30,right,left,0.205
MSB1996WRNO,2019-10-08-12-36-45,1,53,0.5128444538310165,left,probe,biased-switch,-1,5,left,left,0.177
MSB1996WRNO,2019-10-08-12-36-45,1,54,0.6267437786211951,left,both,biased-switch,104,5,left,left,0.058
MSB1996WRNO,2019-10-08-12-36-45,1,55,0.6467765147756288,right,probe,ambiguous-switch,-1,10,right,right,0.176
MSB1996WRNO,2019-10-08-12-36-45,1,56,0.6713907091313752,right,both,ambiguous-switch,109,10,right,right,0.201
MSB1996WRNO,2019-10-08-12-36-45,1,57,0.615692172825909,left,probe,biased-switch,-1,10,left,left,0.173
MSB1996WRNO,2019-10-08-12-36-45,1,58,0.6729106504557414,left,both,biased-switch,105,10,left,left,0.129
MSB1996WRNO,2019-10-08-12-36-45,1,59,0.6631625204311633,right,probe,ambiguous-switch,-1,5,right,right,0.455
MSB1996WRNO,2019-10-08-12-36-45,1,60,0.6589862054013225,right,both,ambiguous-switch,100,5,right,right,0.121
MSB1996WRNO,2019-10-08-12-36-45,1,61,0.6211357722016454,right,probe,biased-switch,-1,20,right,right,0.194
MSB1996WRNO,2019-10-08-12-36-45,1,62,0.5047615081870925,right,both,biased-switch,104,20,right,left,0.2
MSB1996WRNO,2019-10-08-12-36-45,1,63,0.5344475101145496,left,probe,ambiguous-switch,-1,-10,left,left,0.132
MSB1996WRNO,2019-10-08-12-36-45,1,64,0.5593771080408657,left,both,ambiguous-switch,90,-10,left,left,0.144
MSB1996WRNO,2019-10-08-12-36-45,1,65,0.5396874953050416,left,probe,ambiguous-switch,-1,-20,left,left,0.182
MSB1996WRNO,2019-10-08-12-36-45,1,66,0.5450762968980406,left,both,ambiguous-switch,102,-20,left,left,0.201
MSB1996WRNO,2019-10-08-12-36-45,1,67,0.5437387955370581,left,probe,biased-switch,-1,-5,left,left,0.175
MSB1996WRNO,2019-10-08-12-36-45,1,68,0.5493775456733866,left,both,biased-switch,108,-5,left,left,0.961
MSB1996WRNO,2019-10-08-12-36-45,1,69,0.6751444064502563,right,probe,biased-switch,-1,30,right,right,0.184
MSB1996WRNO,2019-10-08-12-36-45,1,70,0.631387306349937,right,both,biased-switch,93,30,right,left,0.161
MSB1996WRNO,2019-10-08-12-36-45,1,71,0.6412628966840938,left,probe,biased-switch,-1,-20,left,left,0.05
MSB1996WRNO,2019-10-08-12-36-45,1,72,0.5632180610983994,left,both,biased-switch,107,-20,left,left,0.927
MSB1996WRNO,2019-10-08-12-36-45,1,73,0.6280293816240998,left,probe,biased-switch,-1,-30,left,left,0.184
MSB1996WRNO,2019-10-08-12-36-45,1,74,0.6322297659779333,left,both,biased-switch,105,-30,left,left,0.182
MSB1996WRNO,2019-10-08-12-36-45,1,75,0.6251058065590611,left,probe,ambiguous-switch,-1,30,left,left,0.164
MSB1996WRNO,2019-10-08-12-36-45,1,76,0.6803906760580761,left,both,ambiguous-switch,94,30,left,left,0.162
MSB1996WRNO,2019-10-08-12-36-45,1,77,0.6622566896597066,right,probe,ambiguous-switch,-1,40,right,right,0.757
MSB1996WRNO,2019-10-08-12-36-45,1,78,0.6753432718192807,right,both,ambiguous-switch,95,40,right,right,0.127
MSB1996WRNO,2019-10-08-12-36-45,1,79,0.512369758050705,right,probe,biased-switch,-1,40,right,right,0.096
MSB1996WRNO,2019-10-08-12-36-45,1,80,0.6263482001274431,right,both,biased-switch,98,40,right,right,0.134
MSB1996WRNO,2019-10-08-12-36-45,2,1,0.6076285374974114,right,probe,ambiguous-switch,-1,20,left,left,0.243
MSB1996WRNO,2019-10-08-12-36-45,2,2,0.5408955089991189,right,both,ambiguous-switch,92,20,left,right,0.212
MSB1996WRNO,2019-10-08-12-36-45,2,3,0.5495326159253493,left,probe,ambiguous-switch,-1,-20,left,left,0.166
MSB1996WRNO,2019-10-08-12-36-45,2,4,0.6120463815153516,left,both,ambiguous-switch,92,-20,left,left,0.189
MSB1996WRNO,2019-10-08-12-36-45,2,5,0.5073599504797045,left,probe,biased-switch,-1,-5,left,left,0.114
MSB1996WRNO,2019-10-08-12-36-45,2,6,0.6436325347274018,left,both,biased-switch,93,-5,left,left,0.066
MSB1996WRNO,2019-10-08-12-36-45,2,7,0.6860094002004471,left,probe,biased-switch,-1,-10,left,left,0.141
MSB1996WRNO,2019-10-08-12-36-45,2,8,0.5499082511984235,left,both,biased-switch,96,-10,left,left,0.103
MSB1996WRNO,2019-10-08-12-36-45,2,9,0.6380464504676754,left,probe,ambiguous-switch,-1,30,left,left,0.151
MSB1996WRNO,2019-10-08-12-36-45,2,10,0.5074335108302177,left,both,ambiguous-switch,98,30,left,left,0.123
MSB1996WRNO,2019-10-08-12-36-45,2,11,0.5372299956088591,left,probe,biased-switch,-1,5,left,left,0.015
MSB1996WRNO,2019-10-08-12-36-45,2,12,0.5287865369524016,left,both,biased-switch,104,5,left,right,1.704
MSB1996WRNO,2019-10-08-12-36-45,2,13,0.542530207499871,right,probe,biased-switch,-1,30,left,left,0.19
MSB1996WRNO,2019-10-08-12-36-45,2,14,0.6602451128742557,right,both,biased-switch,90,30,left,left,0.149
MSB1996WRNO,2019-10-08-12-36-45,2,15,0.6930928092032427,right,probe,ambiguous-switch,-1,10,right,right,0.179
MSB1996WRNO,2019-10-08-12-36-45,2,16,0.6946263780596045,right,both,ambiguous-switch,109,10,right,left,0.212
MSB1996WRNO,2019-10-08-12-36-45,2,17,0.5877993956589137,right,probe,biased-switch,-1,0,left,left,0.166
MSB1996WRNO,2019-10-08-12-36-45,2,18,0.6399760597895712,right,both,biased-switch,93,0,left,right,0.117
MSB1996WRNO,2019-10-08-12-36-45,2,19,0.61459614347361,right,probe,biased-switch,-1,10,left,left,0.167
MSB1996WRNO,2019-10-08-12-36-45,2,20,0.6911907727554201,right,both,biased-switch,94,10,left,left,0.225
MSB1996WRNO,2019-10-08-12-36-45,2,21,0.5845718544220013,left,probe,biased-switch,-1,40,left,left,0.123
MSB1996WRNO,2019-10-08-12-36-45,2,22,0.6156279918357136,left,both,biased-switch,96,40,left,left,0.079
MSB1996WRNO,2019-10-08-12-36-45,2,23,0.6565276465619236,right,probe,biased-switch,-1,-30,right,right,0.236
MSB1996WRNO,2019-10-08-12-36-45,2,24,0.6395938232990569,right,both,biased-switch,108,-30,right,right,0.188
MSB1996WRNO,2019-10-08-12-36-45,2,25,0.6585421662942903,left,probe,ambiguous-switch,-1,-5,left,left,0.141
MSB1996WRNO,2019-10-08-12-36-45,2,26,0.6637226941265713,left,both,ambiguous-switch,93,-5,left,left,0.035
MSB1996WRNO,2019-10-08-12-36-45,2,27,0.6226983019744031,right,probe,ambiguous-switch,-1,-10,left,left,0.337
MSB1996WRNO,2019-10-08-12-36-45,2,28,0.6680248508005893,right,both,ambiguous-switch,97,-10,left,right,0.116
MSB1996WRNO,2019-10-08-12-36-45,2,29,0.6961839973597206,left,probe,ambiguous-switch,-1,5,left,left,0.041
MSB1996WRNO,2019-10-08-12-36-45,2,30,0.5352759449775246,left,both,ambiguous-switch,96,5,left,left,0.122
MSB1996WRNO,2019-10-08-12-36-45,2,31,0.5160942451610919,right,probe,ambiguous-switch,-1,40,right,right,0.207
MSB1996WRNO,2019-10-08-12-36-45,2,32,0.5082726449337225,right,both,ambiguous-switch,103,40,right,right,0.112
MSB1996WRNO,2019-10-08-12-36-45,2,33,0.5256510169049484,left,probe,biased-switch,-1,20,left,left,0.013
MSB1996WRNO,2019-10-08-12-36-45,2,34,0.654094390546049,left,both,biased-switch,107,20,left,left,0.109
MSB1996WRNO,2019-10-08-12-36-45,2,35,0.5868641683235153,right,probe,ambiguous-switch,-1,0,right,right,0.082
MSB1996WRNO,2019-10-08-12-36-45,2,36,0.6205057420753062,right,both,ambiguous-switch,101,0,right,right,0.089
MSB1996WRNO,2019-10-08-12-36-45,2,37,0.6596218546247384,left,probe,ambiguous-switch,-1,-30,left,left,0.023
MSB1996WRNO,2019-10-08-12-36-45,2,38,0.6118061239448943,left,both,ambiguous-switch,95,-30,left,left,0.121
MSB1996WRNO,2019-10-08-12-36-45,2,39,0.6070710131040992,right,probe,biased-switch,-1,-20,right,right,0.146
MSB1996WRNO,2019-10-08-12-36-45,2,40,0.5542659484410709,right,both,biased-switch,101,-20,right,right,0.174
MSB1996WRNO,2019-10-08-12-36-45,2,41,0.676236838565882,right,probe,ambiguous-switch,-1,20,right,right,0.105
MSB1996WRNO,2019-10-08-12-36-45,2,42,0.6194149097218338,right,both,ambiguous-switch,97,20,right,right,0.319
MSB1996WRNO,2019-10-08-12-36-45,2,43,0.5100387656194715,left,probe,ambiguous-switch,-1,-20,left,left,0.031
MSB1996WRNO,2019-10-08-12-36-45,2,44,0.5709144449757907,left,both,ambiguous-switch,101,-20,left,left,0.197
MSB1996WRNO,2019-10-08-12-36-45,2,45,0.6913722661776778,right,probe,biased-switch,-1,-5,right,right,0.127
MSB1996WRNO,2019-10-08-12-36-45,2,46,0.5924786360046815,right,both,biased-switch,108,-5,right,right,1.361
MSB1996WRNO,2019-10-08-12-36-45,2,47,0.6202943548544526,left,probe,biased-switch,-1,-10,left,left,0.175
MSB1996WRNO,2019-10-08-12-36-45,2,48,0.5705348616301572,left,both,biased-switch,102,-10,left,left,0.118
MSB1996WRNO,2019-10-08-12-36-45,2,49,0.5468103302939831,right,probe,ambiguous-switch,-1,30,right,right,0.16
MSB1996WRNO,2019-10-08-12-36-45,2,50,0.6557360498094287,right,both,ambiguous-switch,94,30,right,right,0.232
MSB1996WRNO,2019-10-08-12-36-45,2,51,0.5379609016636313,right,probe,biased-switch,-1,5,right,right,0.186
MSB1996WRNO,2019-10-08-12-36-45,2,52,0.5742927685387743,right,both,biased-switch,92,5,right,right,0.143
MSB1996WRNO,2019-10-08-12-36-45,2,53,0.5497137195619684,left,probe,biased-switch,-1,30,left,left,0.165
MSB1996WRNO,2019-10-08-12-36-45,2,54,0.5976772797840496,left,both,biased-switch,91,30,left,left,0.15
MSB1996WRNO,2019-10-08-12-36-45,2,55,0.6843343439415754,left,probe,ambiguous-switch,-1,10,left,left,0.148
MSB1996WRNO,2019-10-08-12-36-45,2,56,0.638429204672784,left,both,ambiguous-switch,91,10,left,left,0.182
MSB1996WRNO,2019-10-08-12-36-45,2,57,0.5322758544123635,right,probe,biased-switch,-1,0,right,right,0.155
MSB1996WRNO,2019-10-08-12-36-45,2,58,0.6014495152106347,right,both,biased-switch,100,0,right,left,0.2
MSB1996WRNO,2019-10-08-12-36-45,2,59,0.6543327110308853,right,probe,biased-switch,-1,10,right,right,0.011
MSB1996WRNO,2019-10-08-12-36-45,2,60,0.6130536608973254,right,both,biased-switch,100,10,right,left,0.072
MSB1996WRNO,2019-10-08-12-36-45,2,61,0.5163316743746054,right,probe,biased-switch,-1,40,left,left,0.061
MSB1996WRNO,2019-10-08-12-36-45,2,62,0.6153469930000132,right,both,biased-switch,101,40,left,left,1.216
MSB1996WRNO,2019-10-08-12-36-45,2,63,0.693858180685277,right,probe,biased-switch,-1,-30,right,right,1.017
MSB1996WRNO,2019-10-08-12-36-45,2,64,0.6256585515400372,right,both,biased-switch,99,-30,right,left,0.181
MSB1996WRNO,2019-10-08-12-36-45,2,65,0.5428786868355973,right,probe,ambiguous-switch,-1,-5,left,left,0.169
MSB1996WRNO,2019-10-08-12-36-45,2,66,0.6128454087964508,right,both,ambiguous-switch,93,-5,left,left,1.269
MSB1996WRNO,2019-10-08-12-36-45,2,67,0.6950823313823724,right,probe,ambiguous-switch,-1,-10,left,left,0.306
MSB1996WRNO,2019-10-08-12-36-45,2,68,0.5300256053449719,right,both,ambiguous-switch,94,-10,left,left,1.069
MSB1996WRNO,2019-10-08-12-36-45,2,69,0.5694264245525239,right,probe,ambiguous-switch,-1,5,right,right,0.184
MSB1996WRNO,2019-10-08-12-36-45,2,70,0.6766822649340253,right,both,ambiguous-switch,102,5,right,right,0.156
MSB1996WRNO,2019-10-08-12-36-45,2,71,0.6469537273107109,left,probe,ambiguous-switch,-1,40,left,left,0.19
MSB1996WRNO,2019-10-08-12-36-45,2,72,0.5838822434484028,left,both,ambiguous-switch,105,40,left,left,0.103
MSB1996WRNO,2019-10-08-12-36-45,2,73,0.6535201927192729,left,probe,biased-switch,-1,20,left,left,0.198
MSB1996WRNO,2019-10-08-12-36-45,2,74,0.6373309679507085,left,both,biased-switch,90,20,left,left,1.233
MSB1996WRNO,2019-10-08-12-36-45,2,75,0.6107325382930274,left,probe,ambiguous-switch,-1,0,left,left,0.195
MSB1996WRNO,2019-10-08-12-36-45,2,76,0.577526946744749,left,both,ambiguous-switch,93,0,left,left,0.192
MSB1996WRNO,2019-10-08-12-36-45,2,77,0.6701948420514786,left,probe,ambiguous-switch,-1,-30,left,left,0.167
MSB1996WRNO,2019-10-08-12-36-45,2,78,0.6059087337910597,left,both,ambiguous-switch,94,-30,left,left,0.173
MSB1996WRNO,2019-10-08-12-36-45,2,79,0.5812580855965567,right,probe,biased-switch,-1,-20,right,right,0.027
MSB1996WRNO,2019-10-08-12-36-45,2,80,0.6547132283941632,right,both,biased-switch,105,-20,right,right,0.178
MSB1996WRNO,2019-10-08-12-36-45,3,1,0.5676642723545996,right,probe,biased-switch,-1,20,right,right,0.255
MSB1996WRNO,2019-10-08-12-36-45,3,2,0.6094870736174169,right,both,biased-switch,100,20,right,left,0.17
MSB1996WRNO,2019-10-08-12-36-45,3,3,0.5599804098157347,right,probe,biased-switch,-1,5,left,left,0.049
MSB1996WRNO,2019-10-08-12-36-45,3,4,0.6657772672343075,right,both,biased-switch,94,5,left,right,1.138
MSB1996WRNO,2019-10-08-12-36-45,3,5,0.662013126360844,right,probe,ambiguous-switch,-1,-20,right,right,0.208
MSB1996WRNO,2019-10-08-12-36-45,3,6,0.6951405298587862,right,both,ambiguous-switch,107,-20,right,left,0.143
MSB1996WRNO,2019-10-08-12-36-45,3,7,0.687008131689544,left,probe,biased-switch,-1,10,left,left,0.172
MSB1996WRNO,2019-10-08-12-36-45,3,8,0.6236801662798128,left,both,biased-switch,102,10,left,right,0.841
MSB1996WRNO,2019-10-08-12-36-45,3,9,0.6109564891817222,right,probe,ambiguous-switch,-1,30,right,right,0.16
MSB1996WRNO,2019-10-08-12-36-45,3,10,0.6121768850285272,right,both,ambiguous-switch,99,30,right,left,0.669
MSB1996WRNO,2019-10-08-12-36-45,3,11,0.5753894011371969,right,probe,biased-switch,-1,0,right,right,0.077
MSB1996WRNO,2019-10-08-12-36-45,3,12,0.5941038232895455,right,both,biased-switch,106,0,right,right,0.19
MSB1996WRNO,2019-10-08-12-36-45,3,13,0.6657027692585775,left,probe,ambiguous-switch,-1,0,left,left,0.171
MSB1996WRNO,2019-10-08-12-36-45,3,14,0.5300019773620661,left,both,ambiguous-switch,90,0,left,left,0.069
MSB1996WRNO,2019-10-08-12-36-45,3,15,0.6009601980234848,right,probe,biased-switch,-1,40,right,right,0.095
MSB1996WRNO,2019-10-08-12-36-45,3,16,0.5604519897456568,right,both,biased-switch,102,40,right,right,0.109
